Ni1Local,Ni2Local,ctm_SID_c1_p1,gbm_ActGearEven,ctm_SID_c1_p2,ctm_SID_c1_p3,ctm_SID_c1_p4,gbm_ActGearOdd,ctm_SID_c1_p5,ctm_SID_c2_p1,ctm_SID_c2_p2,ssm_ClutchShiftClass,ctm_SID_c2_p3,ctm_SID_c2_p4,ctm_SID_c2_p5,scm_IntPhase,cam_Clutch1ActuatorPos,cam_Clutch2ActuatorPos,ccm_Clutch1TgtTorque_Nm,ccm_ShiftPhase,ccm_Clutch2TgtTorque_Nm,tmm_P1Temp,tmm_P2Temp,gsm_DrvMode,tmm_CPTemp,tmm_MTFTemp,ccm_Clutch1ActTorque_Nm,gsm_DrvPtn,ccm_Clutch2ActTorque_Nm,tom_ClutchTorque_T3,tom_Clutch1EstTq_Nm,LeverPositionLocal,tom_Clutch2EstTq_Nm,AppSlip,AppSlipDot,csm_ClutchActState,scm_Fb_Gain,scm_SE_dSliptgt_PonUp,scm_App_Bse_Trq,APS,scm_App_RampAccum,ecm_EngReqTrq_Nm,scm_NeDot,ssm_CurGear,Ne,iom_VSP16,BrakePress,ssm_ClutchTgtGear,TQI_J,FlywheelTq,CANRx_LONG_ACCEL,CANRx_LAT_ACCEL,Slope,SAS_Angle,master
RPM,RPM,,,,,,,,,,,,,,,,,Nm,,Nm,*C,*C,,*C,*C,Nm,,Nm,Nm,Nm,,Nm,RPM,RPM/10ms,,Nm,RPM/10ms,Nm,%,Nm,Nm,RPM/10ms,,RPM,KPH,bar,,Nm,Nm,m/s^2,m/s^2,%,Deg,Seconds
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,654.4436190476162,-0.1792596726193985,0.0,0.009163809523839207,0.0,0.0,0.0,0.0,0.0,-17.6938095238146,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,398.9914285714356,12.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.765476190463,0.0,0.0,0.0,1.2,12.0,645.0399047619048,645.0399047619048,0.0,1.2,243.24149999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,654.6664285714335,0.13189174107270465,0.0,0.0069357142856647895,0.0,0.0,0.0,0.0,0.0,-17.7,0.0,-0.49952380952446945,0.0,0.0,0.0,0.0,0.0,400.19619047619574,12.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.4985714285734084,14.985714285734085,644.9603809523804,644.9603809523804,0.0,1.4985714285734084,243.34149999999994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,653.9386666666686,-0.13249627976234388,0.0,0.01421333333331482,0.0,0.0,0.0,0.0,0.0,-19.1,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,401.4,6.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.2,12.0,-10.08985714285734,-10.08985714285734,0.0,1.2,243.44149999999993
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,6.195238095244708,0.36495535714324456,0.0,6.491647619047553,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,395.8066666666574,8.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.2,12.0,644.2001904761903,644.2001904761903,0.0,1.2,243.54149999999993
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,651.956161141747,-0.1539266143370066,0.0,0.03403838858252944,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,0.000473933648631559,0.0,0.0,0.0,0.0,0.0,396.40094786729725,5.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.2014218009458946,12.014218009458947,644.8200473933649,644.8200473933649,0.0,1.2014218009458946,243.64149999999992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,654.313459715635,-0.14418875888673202,0.0,0.01046540284364999,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.20094786729726058,0.0,0.0,0.0,0.0,0.0,395.80189573459455,4.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.2,12.0,-9.990284360189179,-9.990284360189179,0.0,1.2,243.74149999999992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.2503317535538535,-0.06429576421831726,0.0,6.551096682464461,0.0,0.0,0.0,0.0,0.0,-17.69383886257129,0.0,-0.4990521327032757,0.0,0.0,0.0,0.0,0.0,395.8,15.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.765402843572,0.0,0.0,0.0,1.2,12.0,-7.114312802282773,-7.114312802282773,0.0,1.2,243.8414999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,650.9961611374482,-0.4909656398089963,0.0,0.04363838862551733,0.0,0.0,0.0,0.0,0.0,-19.106635071077072,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,401.20284360189015,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16332.75,0.0,0.0,0.0,1.2,12.0,-10.059573459716475,-10.059573459716475,0.0,1.2,243.9414999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,3.299999999991879,0.3281249999994388,0.0,6.520600000000081,0.0,0.0,0.0,0.0,0.0,-17.7,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,397.4000000000012,8.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16336.250000000022,0.0,0.0,0.0,1.5,15.0,644.8900000000008,644.8900000000008,0.0,1.5,244.0414999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.470000000005081,0.12890624999908207,0.0,6.548899999999949,0.0,0.0,0.0,0.0,0.0,-17.7,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,397.5999999999886,2.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.4999999999980946,14.999999999980947,644.9200000000004,644.9200000000004,0.0,1.4999999999980946,244.1414999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,653.319999999994,-0.0371093750007218,0.0,0.02040000000006076,0.0,0.0,0.0,0.0,0.0,-17.7,0.0,-0.2999999999993736,0.0,0.0,0.0,0.0,0.0,398.9999999999975,4.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.4999999999981208,14.99999999998121,-10.049999999999688,-10.049999999999688,0.0,1.4999999999981208,244.2414999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,653.0399999999975,-0.4980468749991068,0.0,0.0232000000000254,0.0,0.0,0.0,0.0,0.0,-20.5,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,401.0000000000038,9.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16332.75,0.0,0.0,0.0,1.4999999999980946,14.999999999980947,-9.89000000000019,-9.89000000000019,0.0,1.4999999999980946,244.34149999999988
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.39,0.011718750000293612,0.0,6.5497,0.0,0.0,0.0,0.0,0.0,-20.5,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,400.4000000000075,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16332.75,0.0,0.0,0.0,1.2,12.0,-10.189999999999873,-10.189999999999873,0.0,1.2,244.44149999999988
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,3.4300000000055575,0.31445312500113193,0.0,6.519299999999944,0.0,0.0,0.0,0.0,0.0,-19.09999999998889,0.0,-0.3999999999984122,0.0,0.0,0.0,0.0,0.0,397.59999999999684,12.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16336.250000000027,0.0,0.0,0.0,1.4999999999976183,14.999999999976183,644.6300000000003,644.6300000000003,0.0,1.4999999999976183,244.54149999999987
